,season,league_name,player,nationality,position,team,age,birth_year,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
37,2019-2020,La-Liga-Stats,David Soria,es ESP,GK,Getafe,26,1993,38.0,38.0,3420.0,38.0,37.0,0.97,109.0,73.0,70.6,14.0,12.0,12.0,15.0,39.5,6.0,5.0,1.0,0.0,16.7,0.0,2.0,2.0,38.3,0.3,3.3,0.09,359.0,970.0,37.0,880.0,46.0,83.4,52.7,259.0,91.1,58.5,383.0,20.0,5.2,69.0,1.82,18.1
38,2019-2020,La-Liga-Stats,Juan Soriano,es ESP,GK,Leganés,21,1997,11.0,11.0,990.0,11.0,18.0,1.64,39.0,22.0,66.7,1.0,3.0,7.0,1.0,9.1,5.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,15.8,0.28,-1.2,-0.11,47.0,175.0,26.9,223.0,58.0,51.6,41.8,74.0,81.1,60.4,117.0,7.0,6.0,4.0,0.36,14.5
39,2019-2020,La-Liga-Stats,Marc-André ter Stegen,de GER,GK,Barcelona,27,1992,36.0,36.0,3240.0,36.0,36.0,1.0,116.0,79.0,74.1,24.0,6.0,6.0,14.0,38.9,7.0,6.0,1.0,0.0,14.3,2.0,1.0,0.0,34.8,0.25,-1.2,-0.03,122.0,239.0,51.0,1206.0,177.0,15.3,25.7,224.0,24.6,29.4,379.0,18.0,4.7,39.0,1.08,15.2
40,2019-2020,La-Liga-Stats,Tomáš Vaclík,cz CZE,GK,Sevilla,30,1989,33.0,33.0,2925.0,32.5,31.0,0.95,96.0,65.0,69.8,15.0,12.0,6.0,12.0,36.4,3.0,2.0,1.0,0.0,33.3,3.0,2.0,1.0,27.3,0.25,-2.7,-0.08,145.0,375.0,38.7,692.0,155.0,34.8,34.2,234.0,57.3,44.9,405.0,18.0,4.4,28.0,0.86,15.0
41,2019-2020,La-Liga-Stats,Koke Vegas,es ESP,GK,Levante,23,1995,2.0,2.0,180.0,2.0,2.0,1.0,10.0,8.0,80.0,2.0,0.0,0.0,1.0,50.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.6,0.16,-0.4,-0.22,9.0,24.0,37.5,43.0,13.0,39.5,36.7,19.0,36.8,31.5,46.0,0.0,0.0,4.0,2.0,16.1
42,2019-2020,La-Liga-Stats,Iván Villar,es ESP,GK,Celta Vigo,22,1997,4.0,3.0,280.0,3.1,5.0,1.61,11.0,6.0,54.5,0.0,1.0,2.0,1.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.34,-1.3,-0.41,13.0,40.0,32.5,58.0,8.0,36.2,31.7,28.0,67.9,50.9,44.0,1.0,2.3,4.0,1.29,12.8
43,2019-2020,La-Liga-Stats,Yoel,es ESP,GK,Eibar,30,1988,4.0,4.0,270.0,3.0,5.0,1.67,16.0,10.0,68.8,2.0,0.0,1.0,1.0,25.0,1.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,6.4,0.34,1.4,0.48,31.0,74.0,41.9,67.0,5.0,74.6,52.9,24.0,100.0,67.0,52.0,2.0,3.8,2.0,0.67,10.2
0,2018-2019,La-Liga-Stats,Antonio Adán,es ESP,GK,Atlético Madrid,31,1987,2.0,1.0,90.0,1.0,2.0,2.0,7.0,5.0,71.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.43,1.0,1.03,5.0,16.0,31.3,13.0,2.0,53.8,33.3,11.0,81.8,52.5,18.0,0.0,0.0,0.0,0.0,0.0
1,2018-2019,La-Liga-Stats,Sergio Álvarez,es ESP,GK,Celta Vigo,31,1986,13.0,13.0,1170.0,13.0,22.0,1.69,58.0,37.0,65.5,3.0,5.0,5.0,2.0,15.4,2.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,19.1,0.3,-1.9,-0.15,91.0,237.0,38.4,330.0,47.0,43.9,36.5,128.0,71.9,52.1,230.0,8.0,3.5,7.0,0.54,12.9
2,2018-2019,La-Liga-Stats,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,34,1984,11.0,11.0,990.0,11.0,11.0,1.0,33.0,22.0,66.7,3.0,2.0,6.0,2.0,18.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.2,0.31,-0.8,-0.08,63.0,126.0,50.0,284.0,35.0,28.2,31.5,77.0,59.7,43.2,160.0,5.0,3.1,21.0,1.91,17.8
