,season,league_name,player,nationality,position,team,age,birth_year,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
19,2023-2024,Serie-A,Antonio Mirante,it ITA,GK,Milan,40-238,1983,1.0,1.0,90.0,1.0,1.0,1.0,4.0,3.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.33,0.1,0.12,4.0,12.0,33.3,25.0,2.0,40.0,34.4,4.0,50.0,36.0,12.0,0.0,0.0,0.0,0.0,5.5
20,2023-2024,Serie-A,Lorenzo Montipò,it ITA,GK,Hellas Verona,28-011,1996,26.0,26.0,2340.0,26.0,36.0,1.38,113.0,78.0,69.9,4.0,8.0,14.0,5.0,19.2,2.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,30.4,0.26,-4.6,-0.18,233.0,521.0,44.7,697.0,77.0,52.1,40.1,213.0,74.2,53.9,328.0,10.0,3.0,35.0,1.35,16.3
21,2023-2024,Serie-A,Juan Musso,ar ARG,GK,Atalanta,29-301,1994,10.0,10.0,900.0,10.0,12.0,1.2,31.0,20.0,67.7,5.0,1.0,4.0,5.0,50.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,8.9,0.22,-2.1,-0.21,38.0,110.0,34.5,281.0,64.0,24.2,29.5,60.0,70.0,50.2,98.0,10.0,10.2,16.0,1.6,16.8
22,2023-2024,Serie-A,Guillermo Ochoa,mx MEX,GK,Salernitana,38-233,1985,18.0,18.0,1620.0,18.0,37.0,2.06,96.0,60.0,68.8,0.0,5.0,13.0,1.0,5.6,7.0,7.0,0.0,0.0,0.0,0.0,3.0,1.0,30.7,0.25,-5.3,-0.3,70.0,267.0,26.2,409.0,61.0,44.7,37.0,142.0,59.2,44.8,301.0,9.0,3.0,8.0,0.44,13.0
23,2023-2024,Serie-A,Maduka Okoye,ng NGA,GK,Udinese,24-187,1999,9.0,9.0,810.0,9.0,12.0,1.33,41.0,29.0,73.2,2.0,3.0,4.0,3.0,33.3,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,11.5,0.26,-0.5,-0.05,39.0,102.0,38.2,124.0,21.0,54.8,39.5,53.0,64.2,44.9,143.0,5.0,3.5,1.0,0.11,8.0
24,2023-2024,Serie-A,Rui Patrício,pt POR,GK,Roma,36-016,1988,23.0,23.0,2070.0,23.0,27.0,1.17,74.0,49.0,66.2,11.0,5.0,7.0,6.0,26.1,3.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,23.4,0.29,-1.6,-0.07,90.0,211.0,42.7,492.0,86.0,31.5,31.0,137.0,40.9,34.9,309.0,16.0,5.2,8.0,0.35,11.7
25,2023-2024,Serie-A,Mattia Perin,it ITA,GK,Juventus,31-113,1992,2.0,2.0,180.0,2.0,1.0,0.5,4.0,3.0,75.0,1.0,1.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.3,0.2,0.09,5.0,13.0,38.5,42.0,9.0,28.6,29.1,11.0,9.1,18.9,26.0,2.0,7.7,2.0,1.0,15.0
26,2023-2024,Serie-A,Samuele Perisan,it ITA,GK,Empoli,26-194,1997,1.0,1.0,90.0,1.0,2.0,2.0,5.0,3.0,60.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.14,-1.3,-1.32,1.0,8.0,12.5,22.0,8.0,27.3,26.3,12.0,16.7,29.6,18.0,0.0,0.0,1.0,1.0,21.0
27,2023-2024,Serie-A,Ivan Provedel,it ITA,GK,Lazio,29-351,1994,27.0,27.0,2430.0,27.0,29.0,1.07,104.0,75.0,74.0,12.0,4.0,11.0,9.0,33.3,3.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,26.5,0.23,-2.5,-0.09,85.0,223.0,38.1,770.0,98.0,22.1,30.8,155.0,34.2,36.4,338.0,15.0,4.4,14.0,0.52,12.3
28,2023-2024,Serie-A,Boris Radunović,rs SRB,GK,Cagliari,27-281,1996,7.0,7.0,630.0,7.0,12.0,1.71,27.0,16.0,55.6,0.0,2.0,5.0,2.0,28.6,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,10.1,0.38,-0.9,-0.13,41.0,91.0,45.1,156.0,31.0,35.9,37.0,66.0,53.0,43.8,98.0,6.0,6.1,4.0,0.57,11.2
29,2023-2024,Serie-A,Federico Ravaglia,it ITA,GK,Bologna,24-112,1999,3.0,3.0,270.0,3.0,1.0,0.33,7.0,6.0,85.7,2.0,1.0,0.0,2.0,66.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7,0.24,0.7,0.23,4.0,21.0,19.0,103.0,14.0,15.5,25.2,12.0,41.7,35.9,35.0,1.0,2.9,3.0,1.0,23.5
